line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0014,0.761538462,0.169318044,1,1,0.714285714,1,0.548571429,0.631578947,1,0.604193312,0.966727163,0.777237354,1.00250941,0.99749059,0.604193312,1.02214765,0.97785235,0.8217885,0.970211904,1.005007797,0.994992203,1.002658744,0.997341256,0.966897107,0.989620354,0.904068369,1,1,1,1,1,1,0.929760911
line_0015,0.960714286,0.016269609,1,1,0.714285714,1,0.548571429,0.631578947,1,0.595450965,0.966727163,0.777237354,1.00250941,0.99749059,0.595450965,1.007357732,0.992642268,0.824367123,0.96956056,1.004333093,0.995666907,1.002624728,0.997375272,0.966864305,0.975323154,0.916110518,1,1,1,0.998535464,1,0.999281536,0.929760911
line_0016,0.52826087,0.426581238,1,1,0.714285714,1,0.548571429,0.631578947,1,0.6128351,0.968542045,0.778696498,1.004391468,0.995608532,0.6128351,1.036767447,0.963232553,0.819916331,0.972507113,1.007385322,0.992614678,1.004566135,0.995433865,0.968736468,1,0.895541946,1,0.998459565,0.998607244,0.998607244,0.999244642,1,0.930769078
line_0017,0.454545455,0.535644172,1,1,0.714285714,1,0.548571429,0.631578947,1,0.591424452,0.964912281,0.77577821,1.000627353,0.999372647,0.591424452,1.000545855,0.999454145,0.824897937,0.967606531,1.002308984,0.997691016,1.000735526,0.999264474,0.965042485,0.972379932,0.918633537,0.998535464,0.998535464,0.998671539,0.99822872,1,0.998476938,0.930769078
line_0018,0.460869565,0.43783362,1,1,0.714285714,1,0.548571429,0.631578947,1,0.616246104,0.96430732,0.775291829,1,1,0.616246104,1.042538033,0.957461967,0.817320037,0.968909217,1.00365839,0.99634161,1.000208926,0.999791074,0.964534667,1.014393467,0.88400756,0.998607244,0.998142993,1,1,0.998403378,1,0.928417012
line_0019,1,-0.059333633,1,1,0.714285714,1,0.548571429,0.684210526,1,0.56198544,0.96430732,0.775291829,1,1,0.56198544,0.950742231,0.950742231,0.833405066,0.964856415,0.999460237,0.999460237,1,1,0.964333192,0.925204686,0.961267598,1,1,0.997567058,1,1,0.998801234,0.928417012
line_0020,0.541071429,0.48218629,1,1,0.714285714,1,0.548571429,0.789473684,1,0.56687964,0.967937084,0.778210117,1.003764115,0.996235885,0.56687964,0.959022023,0.959022023,0.833212209,0.968537021,1.003272846,0.996727154,1.003766516,0.996233484,0.967965369,0.926274258,0.960252801,0.997460863,1,0.994926697,0.998438965,0.99874961,0.996731541,0.926401906
line_0021,0.651666667,0.299866624,1,1.2,0.857142857,1,0.834285714,0.789473684,1,0.591101796,0.962492438,0.773832685,0.998117942,0.998117942,0.591101796,1,1,0.824112376,0.96537749,1,1,0.998236079,0.998236079,0.962632185,0.976735643,0.914905098,0.994728684,0.998378036,0.998497513,1,0.996603514,0.999259619,0.93211364
line_0022,0.403703704,0.52846754,1,1.2,0.857142857,1,0.834285714,0.789473684,1,0.605967676,0.964912281,0.77577821,1.000627353,0.999372647,0.605967676,1.025149442,0.974850558,0.820592148,0.968692103,1.003433489,0.996566511,1.000792325,0.999207675,0.965097258,0.996253206,0.898599248,0.998438965,1,0.998915108,0.998553478,0.999230947,0.998751589,0.930769078
line_0023,0.974137931,-0.033698367,1,1,0.714285714,1,0.548571429,0.631578947,1,0.593960474,0.96430732,0.775291829,1,1,0.593960474,1.004836186,0.995163814,0.823926388,0.967244673,1.001934149,0.998065851,1.000120794,0.999879206,0.964449678,0.977766882,0.91402724,0.998873134,0.998497513,0.69197271,0.97045283,0.998704335,0.856356442,0.928417012
